# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
glmZ	ER3413_4670	ER3413_4670-1	lincRNA	0	0	0	73	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	13
glnA	ER3413_3988	AIZ53672	protein_coding	0	0	1	8	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0
glnB	ER3413_2635	AIZ52372	protein_coding	0	0	0	82	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	35
glnD	ER3413_167	AIZ51429	protein_coding	1	9	9	86	0	0	0	0	78	0	0	9	0	0	0	0	1	0	0	9	8
glnE	ER3413_3142	AIZ52846	protein_coding	0	9	11	109	0	0	0	0	22	0	0	11	0	0	0	0	0	0	0	9	87
glnG	ER3413_3986	AIZ53670	protein_coding	0	0	0	14	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1
glnH	ER3413_829	AIZ54654	protein_coding	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2
glnK	ER3413_461	AIZ54282	protein_coding	0	0	0	26	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	20
glnL	ER3413_3987	AIZ53671	protein_coding	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1
glnP	ER3413_828	AIZ54653	protein_coding	0	1	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	1
glnQ	ER3413_827	AIZ54652	protein_coding	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
glnS	ER3413_695	AIZ54523	protein_coding	0	9	8	63	0	0	0	0	41	0	0	8	0	1	0	0	0	0	1	8	22
glnU	ER3413_683	ER3413_683-1	protein_coding	0	1	1	67	0	0	0	0	54	0	0	1	0	0	0	0	0	0	0	1	13
glnV	ER3413_680	ER3413_680-1	protein_coding	0	0	0	69	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	19
glnW	ER3413_682	ER3413_682-1	protein_coding	0	0	0	69	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	15
glnX	ER3413_679	ER3413_679-1	protein_coding	0	0	0	69	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	19
gloA	ER3413_1690	AIZ51448	protein_coding	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11
gloB	ER3413_216	AIZ51906	protein_coding	1	3	2	54	0	0	0	0	28	0	0	2	0	0	0	0	1	0	0	3	26
glpA	ER3413_2313	AIZ52055	protein_coding	0	0	1	45	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	22
glpB	ER3413_2314	AIZ52056	protein_coding	0	0	0	43	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	11
glpC	ER3413_2315	AIZ52057	protein_coding	0	0	0	35	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1
glpD	ER3413_3515	AIZ53221	protein_coding	0	2	5	100	0	0	0	0	47	0	0	5	0	0	0	0	0	0	0	2	53
glpE	ER3413_3514	AIZ53220	protein_coding	2	0	9	91	0	0	0	0	40	0	0	9	0	1	0	0	1	1	0	0	51
glpF	ER3413_4048	AIZ53735	protein_coding	0	5	7	37	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	5	29
glpG	ER3413_3513	AIZ53219	protein_coding	2	14	18	68	0	0	0	0	4	0	0	18	0	0	0	0	2	0	0	14	64
glpK	ER3413_4047	AIZ53734	protein_coding	0	3	5	40	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	40
glpQ	ER3413_2311	AIZ52053	protein_coding	0	3	7	27	0	0	0	0	26	0	0	7	0	0	0	0	0	0	0	3	1
glpR	ER3413_3511	AIZ53217	protein_coding	0	2	1	91	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	90
glpT	ER3413_2312	AIZ52054	protein_coding	0	0	0	28	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	1
glpX	ER3413_4046	AIZ53733	protein_coding	0	0	0	48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	47
glrK	ER3413_2638	AIZ52375	protein_coding	0	0	1	135	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	98
glrR	ER3413_2636	AIZ52373	protein_coding	0	1	2	94	0	0	0	0	45	0	0	2	0	0	0	0	0	0	0	1	49
glsA	ER3413_497	AIZ54338	protein_coding	1	9	10	115	0	0	0	0	28	0	0	10	0	0	0	0	1	0	0	9	87
glsB	ER3413_1562	AIZ51321	protein_coding	0	1	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	4
gltA	ER3413_735	AIZ54561	protein_coding	0	5	36	237	0	0	0	0	153	0	0	36	0	0	0	0	0	0	0	5	84
gltI	ER3413_670	AIZ54507	protein_coding	0	8	6	99	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	8	93
gltJ	ER3413_669	AIZ54505	protein_coding	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102
gltK	ER3413_668	AIZ54504	protein_coding	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102
gltL	ER3413_667	AIZ54503	protein_coding	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88
gltP	ER3413_4216	AIZ53888	protein_coding	0	0	1	114	0	0	0	0	75	0	0	1	0	0	0	0	0	0	0	0	39
gltS	ER3413_2032	AIZ51792	protein_coding	2	11	9	120	0	0	0	0	67	0	0	9	0	0	0	0	2	0	0	11	53
gltS	ER3413_3764	AIZ53466	protein_coding	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
gltT	ER3413_4092	ER3413_4092-1	protein_coding	0	0	0	205	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	91
gltU	ER3413_3870	ER3413_3870-1	protein_coding	0	0	0	116	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	106
gltV	ER3413_4135	ER3413_4135-1	protein_coding	0	0	0	29	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	9
gltW	ER3413_2673	ER3413_2673-1	protein_coding	0	0	2	72	0	0	0	0	21	0	0	2	0	0	0	0	0	0	0	0	51
gltX	ER3413_2481	AIZ52218	protein_coding	0	9	15	60	0	0	0	0	22	0	0	15	0	0	0	0	0	0	0	9	38
gluQ	ER3413_141	AIZ51182	protein_coding	0	31	3	105	0	0	0	0	55	0	0	3	0	0	0	0	0	0	0	31	50
glxK	ER3413_523	AIZ54364	protein_coding	1	11	6	125	0	0	0	0	80	0	0	6	0	0	0	0	1	0	0	11	45
glxR	ER3413_519	AIZ54360	protein_coding	0	0	1	94	0	0	0	0	52	0	0	1	0	0	0	0	0	0	0	0	42
glyA	ER3413_2633	AIZ52370	protein_coding	0	3	5	68	0	0	0	0	36	0	0	5	0	0	0	0	0	0	0	3	32
glyQ	ER3413_3664	AIZ53364	protein_coding	0	1	0	32	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	1
glyS	ER3413_3663	AIZ53363	protein_coding	0	14	6	14	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	14	2
glyT	ER3413_4102	ER3413_4102-1	protein_coding	0	2	0	120	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	83
glyU	ER3413_2949	ER3413_2949-1	protein_coding	0	1	1	93	0	0	0	0	32	0	0	1	0	0	0	0	0	0	0	1	61
glyV	ER3413_4309	ER3413_4309-1	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
glyW	ER3413_1964	ER3413_1964-1	protein_coding	0	0	0	23	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	18
glyX	ER3413_4310	ER3413_4310-1	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
glyY	ER3413_4311	ER3413_4311-1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gmd	ER3413_2115	AIZ51861	protein_coding	3	9	41	444	0	0	0	0	247	0	0	41	0	0	0	0	3	0	0	9	197
gmhA	ER3413_226	AIZ52000	protein_coding	0	6	6	144	0	0	0	0	131	0	0	6	0	0	0	0	0	0	0	6	13
gmhB	ER3413_203	AIZ51789	protein_coding	0	0	0	82	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	61
gmk	ER3413_3759	AIZ53460	protein_coding	0	0	0	108	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	87
gmr	ER3413_1309	AIZ51089	protein_coding	3	6	11	103	0	0	0	0	39	1	0	11	0	0	0	0	2	0	0	6	64
gnd	ER3413_2092	AIZ51839	protein_coding	2	20	13	198	0	0	0	0	59	0	0	13	0	0	0	0	2	0	0	20	139
gnsA	ER3413_1014	AIZ50801	protein_coding	0	0	0	46	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	23
gnsB	ER3413_1592	AIZ51349	protein_coding	0	0	0	88	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	29
gntK	ER3413_3526	AIZ53230	protein_coding	0	3	0	116	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	3	31
gntR	ER3413_3527	AIZ53231	protein_coding	0	2	1	118	0	0	0	0	88	0	0	1	0	0	0	0	0	0	0	2	30
gntT	ER3413_3505	AIZ53210	protein_coding	0	10	6	26	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	10	20
gntU	ER3413_3525	AIZ53229	protein_coding	2	2	11	106	0	0	0	0	73	1	0	11	0	0	0	0	1	0	0	2	33
gntX	ER3413_3503	AIZ53208	protein_coding	0	2	0	38	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	2	12
gor	ER3413_3593	AIZ53295	protein_coding	0	7	4	53	0	0	0	0	50	0	0	4	0	0	0	0	0	0	0	7	3
gph	ER3413_3472	AIZ53176	protein_coding	0	7	6	93	0	0	0	0	71	0	0	6	0	0	0	0	0	0	0	7	22
gpmA	ER3413_771	AIZ54592	protein_coding	0	0	0	20	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1
gpmM	ER3413_3723	AIZ53421	protein_coding	3	14	28	89	0	0	0	0	14	1	0	28	0	0	0	0	2	0	0	14	75
gpp	ER3413_3889	AIZ53584	protein_coding	0	1	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	1
gpr	ER3413_3094	AIZ52797	protein_coding	1	17	6	34	0	0	0	0	26	0	0	6	0	0	0	0	1	0	0	17	8
gpsA	ER3413_3719	AIZ53416	protein_coding	1	8	4	110	0	0	0	0	42	0	0	4	0	0	0	0	1	0	0	8	68
gpt	ER3413_242	AIZ52160	protein_coding	0	2	0	104	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	67
grcA	ER3413_2661	AIZ52400	protein_coding	0	0	0	25	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21
greA	ER3413_3275	AIZ52976	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6
greB	ER3413_3496	AIZ53199	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
groL	ER3413_4287	AIZ53960	protein_coding	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
groS	ER3413_4286	AIZ53959	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
grpE	ER3413_2694	AIZ52430	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1
grxA	ER3413_867	AIZ54695	protein_coding	0	0	1	48	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	11
grxB	ER3413_1091	AIZ50874	protein_coding	0	1	0	83	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	1	57
grxC	ER3413_3721	AIZ53419	protein_coding	1	0	5	117	0	0	0	0	62	0	0	5	0	0	0	0	1	0	0	0	55
grxD	ER3413_1693	AIZ51451	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
gshA	ER3413_2764	AIZ52489	protein_coding	0	1	7	11	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	1	8
gshB	ER3413_3034	AIZ52745	protein_coding	0	1	0	53	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1	7
gsiA	ER3413_847	AIZ54674	protein_coding	1	26	20	25	0	0	0	0	15	0	0	20	0	0	0	0	1	0	0	26	10
gsiB	ER3413_848	AIZ54675	protein_coding	0	3	5	90	0	0	0	0	33	0	0	5	0	0	0	0	0	0	0	3	57
gsiC	ER3413_849	AIZ54676	protein_coding	0	0	2	104	0	0	0	0	40	0	0	2	0	0	0	0	0	0	0	0	64
gsiD	ER3413_850	AIZ54678	protein_coding	0	0	2	126	0	0	0	0	60	0	0	2	0	0	0	0	0	0	0	0	66
gsk	ER3413_489	AIZ54329	protein_coding	0	14	9	56	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	14	56
gspA	ER3413_3409	AIZ53107	protein_coding	1	0	0	36	0	0	0	0	36	1	0	0	0	0	0	0	0	0	0	0	0
gspB	ER3413_3408	AIZ53106	protein_coding	0	0	0	40	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	1
gspC	ER3413_3410	AIZ53109	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
gspD	ER3413_3411	AIZ53110	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gspE	ER3413_3412	AIZ53111	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gspF	ER3413_3413	AIZ53112	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
gspG	ER3413_3414	AIZ53113	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspH	ER3413_3415	AIZ53114	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspI	ER3413_3416	AIZ53115	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspJ	ER3413_3417	AIZ53116	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspK	ER3413_3418	AIZ53117	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspL	ER3413_3419	AIZ53118	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspM	ER3413_3420	AIZ53120	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gspO	ER3413_3421	AIZ53121	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
gstA	ER3413_1673	AIZ51432	protein_coding	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11
gstB	ER3413_855	AIZ54682	protein_coding	0	1	2	73	0	0	0	0	56	0	0	2	0	0	0	0	0	0	0	1	17
gtrA	ER3413_4617	AIZ54290	protein_coding	0	7	4	253	0	0	0	0	103	0	0	4	0	0	0	0	0	0	0	7	150
gtrB	ER3413_2430	AIZ52171	protein_coding	2	9	5	247	0	0	0	0	100	0	0	5	0	2	0	0	0	2	0	9	147
gtrS	ER3413_2431	AIZ52172	protein_coding	3	2	10	218	0	0	0	0	101	1	0	10	0	0	1	0	1	0	0	2	117
guaA	ER3413_2585	AIZ52323	protein_coding	2	3	8	81	0	0	0	0	56	0	0	8	0	1	0	0	1	1	0	3	25
guaB	ER3413_2586	AIZ52324	protein_coding	0	3	3	87	0	0	0	0	58	0	0	3	0	0	0	0	0	0	0	3	29
guaC	ER3413_100	AIZ50785	protein_coding	0	0	0	104	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	34
guaD	ER3413_2968	AIZ52679	protein_coding	1	3	4	57	0	0	0	0	25	0	0	4	0	0	0	0	1	0	0	3	32
gudD	ER3413_2872	AIZ52589	protein_coding	1	0	0	5	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	1
gudP	ER3413_2874	AIZ52591	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2
gudX	ER3413_2873	AIZ52590	protein_coding	0	1	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2
gutM	ER3413_2784	AIZ52504	protein_coding	0	0	0	47	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	24
gutQ	ER3413_2787	AIZ52507	protein_coding	0	0	0	34	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	3
gyrA	ER3413_2303	AIZ52045	protein_coding	2	22	10	91	0	0	0	0	36	0	0	10	0	1	0	0	2	0	1	21	55
gyrB	ER3413_3812	AIZ53511	protein_coding	1	5	6	75	0	0	0	0	44	1	0	6	0	0	0	0	0	0	0	5	31
hcaB	ER3413_2623	AIZ52360	protein_coding	0	5	3	45	0	0	0	0	29	0	0	3	0	0	0	0	0	0	0	5	16
hcaC	ER3413_2622	AIZ52359	protein_coding	1	0	2	50	0	0	0	0	37	1	0	2	0	0	0	0	0	0	0	0	13
hcaD	ER3413_2624	AIZ52361	protein_coding	0	3	1	50	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	3	24
hcaE	ER3413_2620	AIZ52357	protein_coding	1	5	1	41	0	0	0	0	35	0	0	1	0	0	0	0	1	0	0	5	6
hcaF	ER3413_2621	AIZ52358	protein_coding	0	0	0	51	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	13
hcaR	ER3413_2619	AIZ52355	protein_coding	0	1	1	29	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	28
hcaT	ER3413_2617	AIZ52353	protein_coding	0	0	0	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	27
hchA	ER3413_2020	AIZ51780	protein_coding	0	5	13	157	0	0	0	0	73	0	0	13	0	0	0	0	0	0	0	5	84
hcp	ER3413_892	AIZ54722	protein_coding	1	6	7	54	0	0	0	0	37	0	0	7	0	0	0	0	1	0	0	6	17
hcr	ER3413_891	AIZ54721	protein_coding	0	12	6	49	0	0	0	0	18	0	0	6	0	0	0	0	0	0	0	12	31
hda	ER3413_2572	AIZ52311	protein_coding	0	5	3	75	0	0	0	0	27	0	0	3	0	0	0	0	0	0	0	5	48
hdeA	ER3413_3606	AIZ53307	protein_coding	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2
hdeB	ER3413_3605	AIZ53306	protein_coding	0	0	1	9	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	2
hdeD	ER3413_3607	AIZ53308	protein_coding	0	0	1	7	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4
hdfR	ER3413_3876	AIZ53572	protein_coding	1	0	0	47	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	0	11
hdhA	ER3413_1656	AIZ51414	protein_coding	1	0	0	30	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	27
helD	ER3413_984	AIZ54819	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
hemA	ER3413_1224	AIZ51008	protein_coding	0	1	1	34	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	1	10
hemB	ER3413_376	AIZ53461	protein_coding	2	7	9	168	0	0	0	0	103	0	0	9	0	0	1	0	1	0	0	7	65
hemC	ER3413_3918	AIZ53610	protein_coding	1	4	14	78	0	0	0	0	33	0	0	14	0	0	0	0	1	0	0	4	45
hemD	ER3413_3917	AIZ53609	protein_coding	1	24	7	56	0	0	0	0	1	0	0	7	0	0	0	0	1	0	0	24	55
hemE	ER3413_4122	AIZ53802	protein_coding	0	0	0	44	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	9
hemF	ER3413_2520	AIZ52256	protein_coding	0	5	6	154	0	0	0	0	53	0	0	6	0	0	0	0	0	0	0	5	101
hemG	ER3413_3961	AIZ53656	protein_coding	0	5	3	86	0	0	0	0	46	0	0	3	0	0	0	0	0	0	0	5	40
hemH	ER3413_488	AIZ54328	protein_coding	1	17	18	63	0	0	0	0	35	0	0	18	0	0	0	0	1	0	0	17	28
hemL	ER3413_155	AIZ51308	protein_coding	0	1	1	71	0	0	0	0	55	0	0	1	0	0	0	0	0	0	0	1	16
hemN	ER3413_3984	AIZ53669	protein_coding	0	0	7	8	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	7
hemX	ER3413_3916	AIZ53608	protein_coding	0	0	0	88	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	87
hemY	ER3413_3915	AIZ53607	protein_coding	0	1	0	82	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	79
hflC	ER3413_4321	AIZ53996	protein_coding	1	4	4	130	0	0	0	0	71	0	0	4	0	0	1	0	0	0	0	4	59
hflD	ER3413_1162	AIZ50949	protein_coding	1	2	0	77	0	0	0	0	70	0	0	0	0	0	0	0	1	0	0	2	7
hflK	ER3413_4320	AIZ53995	protein_coding	0	7	17	107	0	0	0	0	72	0	0	17	0	0	0	0	0	0	0	7	35
hflX	ER3413_4319	AIZ53993	protein_coding	0	3	8	110	0	0	0	0	86	0	0	8	0	0	0	0	0	0	0	3	24
hfq	ER3413_4318	AIZ53992	protein_coding	0	0	4	87	0	0	0	0	68	0	0	4	0	0	0	0	0	0	0	0	19
hha	ER3413_471	AIZ54311	protein_coding	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
hicA	ER3413_4551	AIZ54218	protein_coding	0	1	0	93	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	1	59
hicB	ER3413_1470	AIZ51237	protein_coding	1	5	0	86	0	0	0	0	31	1	0	0	0	0	0	0	1	0	0	5	55
higA	ER3413_3174	AIZ52876	protein_coding	0	3	0	78	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	74
higB	ER3413_3175	AIZ52877	protein_coding	1	2	8	75	0	0	0	0	7	0	0	8	0	0	0	0	1	0	0	2	68
hinT	ER3413_1132	AIZ50917	protein_coding	0	0	0	74	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	43
hipA	ER3413_1544	AIZ51304	protein_coding	0	1	2	20	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	1	10
hipB	ER3413_1545	AIZ51305	protein_coding	0	2	0	21	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	8
hisA	ER3413_2087	AIZ51834	protein_coding	1	4	10	113	0	0	0	0	61	0	0	10	0	0	0	0	1	0	0	4	52
hisB	ER3413_2085	AIZ51832	protein_coding	1	8	6	102	0	0	0	0	59	0	0	6	0	0	0	0	1	0	0	8	43
hisC	ER3413_2084	AIZ51831	protein_coding	0	1	5	104	0	0	0	0	65	0	0	5	0	0	0	0	0	0	0	1	39
hisD	ER3413_2083	AIZ51830	protein_coding	0	4	3	93	0	0	0	0	61	0	0	3	0	0	0	0	0	0	0	4	32
hisF	ER3413_2088	AIZ51835	protein_coding	0	14	2	127	0	0	0	0	71	0	0	2	0	0	0	0	0	0	0	14	56
hisG	ER3413_2082	AIZ51829	protein_coding	3	7	6	73	0	0	0	0	57	2	0	6	0	0	0	0	1	0	0	7	16
hisH	ER3413_2086	AIZ51833	protein_coding	0	1	4	111	0	0	0	0	58	0	0	4	0	0	0	0	0	0	0	1	53
hisI	ER3413_2089	AIZ51836	protein_coding	0	1	1	152	0	0	0	0	95	0	0	1	0	0	0	0	0	0	0	1	57
hisJ	ER3413_2386	AIZ52129	protein_coding	0	1	3	20	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	1	12
hisL	ER3413_4619	AIZ54292	protein_coding	0	0	0	64	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	11
hisM	ER3413_2384	AIZ52127	protein_coding	0	0	1	31	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	0	16
hisP	ER3413_2383	AIZ52126	protein_coding	0	0	0	34	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	17
hisQ	ER3413_2385	AIZ52128	protein_coding	0	0	0	29	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	16
hisR	ER3413_3909	ER3413_3909-1	protein_coding	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25
hisS	ER3413_2593	AIZ52331	protein_coding	1	6	13	45	0	0	0	0	31	0	0	13	0	0	0	0	1	0	0	6	14
hiuH	ER3413_2023	AIZ51783	protein_coding	0	0	1	156	0	0	0	0	68	0	0	1	0	0	0	0	0	0	0	0	88
hldD	ER3413_3730	AIZ53429	protein_coding	0	1	1	24	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	1	18
hldE	ER3413_3141	AIZ52845	protein_coding	0	3	1	100	0	0	0	0	36	0	0	1	0	0	0	0	0	0	0	3	64
hlyE	ER3413_1193	AIZ50976	protein_coding	0	0	0	162	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	10
hmp	ER3413_2634	AIZ52371	protein_coding	1	15	11	63	0	0	0	0	31	0	0	11	0	0	0	0	1	0	0	15	32
hns	ER3413_1254	AIZ51036	protein_coding	0	3	4	81	0	0	0	0	53	0	0	4	0	0	0	0	0	0	0	3	28
hofB	ER3413_102	AIZ50807	protein_coding	0	35	4	56	0	0	0	0	29	0	0	4	0	0	0	0	0	0	0	35	27
hofC	ER3413_101	AIZ50796	protein_coding	0	10	4	89	0	0	0	0	31	0	0	4	0	0	0	0	0	0	0	10	58
hofM	ER3413_3483	AIZ53187	protein_coding	0	0	1	12	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	1
hofN	ER3413_3482	AIZ53186	protein_coding	0	4	2	9	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	4	2
hofO	ER3413_3481	AIZ53185	protein_coding	0	0	0	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	8
hofP	ER3413_3480	AIZ53184	protein_coding	0	1	0	18	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	8
hofQ	ER3413_3479	AIZ53182	protein_coding	1	0	0	18	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	8
hokA	ER3413_3660	AIZ53360	protein_coding	0	0	0	34	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	29
hokB	ER3413_4547	AIZ54213	protein_coding	0	0	0	53	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	51
hokC	ER3413_4565	AIZ54233	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hokD	ER3413_4588	AIZ54258	protein_coding	0	3	1	73	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	3	54
hokE	ER3413_589	AIZ54424	protein_coding	1	0	1	44	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	0	12
holA	ER3413_655	AIZ54490	protein_coding	0	0	8	72	0	0	0	0	21	0	0	8	0	0	0	0	0	0	0	0	51
